id,0,1,2,3,4,5,6,7,8,9,10,11,12
43423,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43422,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43420,4.533072,-10.820458,7.2681613,4.787476,-9.950667,7.7663255,-9.774927,-2.8476343,6.4110346,6.299021,-1.9251347,5.301695,-8.112356
43417,7.2127957,-14.163934,11.807443,6.0628295,-17.41535,12.034966,-15.393747,-3.9122646,11.147087,10.921974,-2.8487425,7.5521336,-11.265819
43409,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43406,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43398,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43387,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43383,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43381,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43379,13.097732,-15.86353,13.641689,5.631557,-24.394302,19.852293,-18.272755,-11.906054,14.523074,10.360901,-5.528223,11.500934,-13.36226
43369,6.822478,-12.037311,6.4971256,8.103059,-12.642538,9.048662,-10.481655,-13.415583,7.944276,6.930195,-0.23726071,7.4899874,-12.154645
43365,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43356,15.071297,-21.910847,14.443767,12.779786,-32.19104,20.097408,-22.749329,-10.79693,18.808352,14.777949,-0.46493208,14.505732,-20.080572
43346,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43343,15.012467,-23.304174,17.731941,8.441859,-36.7948,25.88006,-27.42918,-13.075685,19.040104,18.5423,-3.3919356,17.073435,-15.482759
43336,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43331,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43329,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43325,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43324,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43323,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43321,23.227077,-24.321451,18.00975,6.100142,-23.82554,21.671394,-20.187721,-26.615862,21.197847,21.343342,-24.76469,17.937918,-17.826706
43320,8.195439,-8.115427,7.9650974,7.0545154,-6.29045,10.374133,-13.209873,-8.685196,10.370027,6.871658,-3.9786315,4.8343763,-12.795032
43317,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43304,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43303,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43302,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43301,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43300,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43299,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43295,10.809179,-11.888206,9.347636,7.2073293,-17.928366,12.245412,-14.242509,-5.5552945,11.120022,8.9864855,-3.3307164,7.053322,-11.453141
43281,4.413328,-6.2042646,6.6413426,4.3530602,-8.577598,4.7636275,-6.294881,-3.580582,8.595925,6.562025,-6.1011753,6.3977118,-6.607708
43280,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43274,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43273,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43265,5.0186615,-9.725227,8.110904,5.141915,-12.841312,9.782582,-10.065918,-9.456178,18.113407,9.015935,-10.049431,7.853398,-10.384894
43264,17.820017,-18.258211,17.810976,10.939131,-28.971113,22.845596,-25.493837,-16.850853,18.313107,14.2892885,-6.586092,12.750707,-19.173532
43258,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
