id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
43441,-36.613842,9.651967,-6.575771,7.756356,5.764689,-17.885693,14.899841,20.034374,-23.78317,-6.2170434,19.680906,4.589593,6.805206,-13.595637,-20.12252,-15.9860325,-19.304943,-10.818269,22.052158,29.318436,-10.278942,15.380218,39.20399,4.627444,13.031158,11.041398,4.9625735,-8.022601,14.693556,-9.233948,-3.3491893,6.61562,-18.668135,-24.595373,-6.161922,-9.766597,-7.686982
43438,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
43437,-8.989374,5.848775,-12.88685,7.0319877,5.082806,-8.919553,3.2960234,8.776978,-28.135447,-9.814618,13.813117,5.4792514,2.001855,-6.1892805,-5.0337634,-12.57304,-5.278324,-10.401206,2.787844,23.287636,-18.791653,8.003757,47.92108,6.8015833,27.449747,19.884651,12.122425,-3.7018042,10.17678,-12.680929,-4.739496,13.727295,-16.740746,-18.607225,-12.115044,-18.342648,-29.10125
43436,-17.761082,9.14033,-15.81482,6.3588834,8.096053,-11.703233,11.441021,12.898734,-22.038559,-7.5351562,11.271875,3.751346,2.9452488,-5.6414566,-12.666418,-11.605398,-7.700442,-16.046524,9.297681,45.161674,-17.987196,9.304542,45.501305,6.560631,19.635256,13.456911,16.34336,-4.312787,16.848103,-18.293688,-3.2641706,4.391308,-15.534475,-46.441185,-10.61065,-18.434734,-11.704811
43435,-14.073004,11.031752,-25.78478,3.5575976,9.378282,-14.204046,6.8732853,12.617082,-18.754757,-6.5235724,9.897445,5.6348367,6.2462406,-2.5938962,-7.263074,-7.6283,-3.5942452,-1.5074166,5.5340843,22.598932,-46.180656,8.868939,49.04851,26.600382,32.692017,29.731663,10.823262,-5.4928284,16.301615,-12.730928,-3.4178584,13.97466,-3.8943815,-6.435146,-25.948645,-25.38418,-14.197812
43433,-14.938404,7.029866,-13.619277,7.789006,9.367224,-10.326131,5.331025,17.004232,-36.861134,-6.4257984,14.1804285,5.9406915,6.037665,-7.7842784,-13.228799,-10.709686,-6.621253,-7.7313657,7.376893,21.672571,-18.959595,14.13221,41.538715,10.008334,23.786318,14.580195,7.0563955,-9.461348,16.271353,-12.967866,-4.5265512,9.005538,-9.039404,-14.715674,-13.9556675,-14.153961,-14.057406
43432,-13.228313,9.78655,-7.5709004,7.8634706,5.1893682,-7.4826694,5.442462,12.652555,-24.131594,-6.025577,17.600355,3.7716506,4.5725675,-12.892548,-5.4031353,-11.099259,-4.3180575,-10.395052,10.065164,32.57267,-8.709179,15.418624,43.003277,7.4180555,10.833844,10.782701,7.4247494,-3.0944793,17.931086,-4.9098244,-2.5460153,9.264402,-10.304567,-54.305252,-8.081785,-9.0296755,-6.647849
43429,-19.132586,6.822112,-19.857132,7.0937586,5.4296765,-8.6991415,9.00207,11.161147,-27.286324,-12.803038,13.728656,7.869405,7.1310267,-7.553291,-7.714342,-18.80118,-12.380156,-13.342083,13.558482,35.49481,-23.927084,11.826444,48.487747,6.9149504,20.589611,26.83399,13.683321,-3.1187093,21.810442,-13.437368,-3.3653755,11.608375,-11.239622,-33.245102,-11.275854,-19.883036,-17.807856
43426,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
43425,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
