weight
1.98kg
7.94kg
25.3kg
14.5kg
0.38kg
0.37kg
20.7kg
12.7kg
8.9kg
20.2kg
0.08kg
50kg(추정)
22.3kg
2.65kg
2.74kg
32(Kg)
2.78kg
1.49kg
1.37kg
7.15kg
6.18kg
6.97kg
10.4kg
7(Kg)
10.8kg
9.5kg
4.3kg(추정)
11.14kg
3.5kg(추정)
3.32kg
3.35kg
32.7kg
30(Kg)
1.75kg
2.66kg
1.54kg
14.3kg
6.37kg
2.52kg
12(Kg)
12.6kg
8.65kg
8.17kg
2.22kg
3.04kg
17.2kg
16.7kg
6(Kg)
21.3kg
8.76kg
17.6kg
2.27kg
14.1kg
1.8kg
8.6kg
20(Kg)
8.8kg
18.7kg
3.37kg
3.26kg
1.95kg
6.43kg
24kg
4.36kg
1.97kg
0.55kg
38kg
28kg
33kg
26kg
50kg
32kg
27kg
42kg(추정)
0.5kg
23.2kg
6.4kg
9.2kg
20.8kg
0.93kg
2.07kg
0.85kg
26kg(추정)
3.95kg
31kg
2.15kg
1.4kg
22(Kg)
0.33kg
0.31kg
0.22kg
0.52kg
3.87kg
21.1kg
0.77kg
3.67kg
3.7kg
1.92kg
0.435kg
0.73kg
28.00(Kg)
10.16kg
25kg
3.00(Kg)
3.56kg
17.00(Kg)
20.00(Kg)
2.18kg
24(Kg)
13.1kg
13.2kg
0.15kg(추정)
1.87kg
8.2kg
15.1kg
3.82kg
8.1kg
3.12kg
5.95kg
34.5kg
26.3kg
30.00(Kg)
27.5kg
0.6kg
13(Kg)
10(Kg)
11.3kg
2.05kg
7.73kg
9.55kg
6.57kg
3.76kg
26.2kg
1.79kg
16.3kg
0.505kg
0.53kg
0.47kg
0.59kg
0.415kg
23.00(Kg)
0.55kg(추정)
4.17kg
34kg
18.5kg
18.6kg
0.7kg(추정)
4.73kg
1.76kg
0.3kg(추정)
21kg(추정)
2.48kg
19kg(추정)
7.5kg
0.43kg
4.57kg
0.8kg
25.00(Kg)
10.2kg
5.47kg
3.09kg
4.7kg(추정)
27.00(Kg)
36kg
5.46kg
15.8kg
10.9kg
0.35kg
20.4kg
9.97kg
4.02kg
0.3kg
0.125kg
0.175kg
1.6kg
17(Kg)
0.45kg
1.93kg
3.83kg
17.7kg
0.715kg
0.195kg
0.15(Kg)
11.00(Kg)
1.25kg
2.56kg
14.8kg
1.65kg
0.275kg
22.00(Kg)
0.965kg
1.155kg
1.11kg
1.145kg
9.53kg
7.49kg
6.88kg
3.15kg
0.093kg
21.2kg
3.94kg
3.33kg
0.615kg
0.645kg
0.405kg
9.48kg
6.67kg
3.1kg(추정)
0.107kg
0.4kg(추정)
1.8kg(추정)
2.46kg
13kg(추정)
0.121kg
2.37kg
17.9kg
43.5kg
0.281kg
5.43kg
2.85kg
6.49kg
18.4kg
4.69kg
1.27kg
0.225kg
0.245kg
0.25kg
19.5kg
10.1kg
7.00(Kg)
4.83kg
0.03kg
1.91kg
2.45kg
9.02kg
2.47kg
7.2kg
0.29kg
2.38kg
4.76kg
5.53kg
4.88kg
7.84kg
0.81kg
22.8kg
0.363kg
0.332kg
1.42kg
12.2kg
0.82kg
20.3kg
4.67kg
0.872kg
3.06kg
0.315kg
3.74kg
1.2kg(추정)
3.03kg
0.745kg
19.2kg
21.4kg
11.5kg
24.5kg
0.087kg
0.291kg
2.95kg
0.463kg
10.00(Kg)
2.41kg
0.594kg
3.63kg
9.67kg
1.1(Kg)
9.66kg
0.49kg
0.725kg
5.9kg
13.4kg
0.17kg
0.45(Kg)
6.7kg
3.55kg
2.75kg
9.00(Kg)
0.35(Kg)
3.41kg
0.425kg
3.18kg
0.1gk(추정)
27.8kg
4.45kg
4.85kg
1.52kg
21.7kg
1gk(추정)
0.56kg
9.7kg
25.9kg
28.5kg
0.65kg
0.46kg
27Kg(추정)
0.45Kg(추정)
0.522kg
0.356kg
0.327kg
19(Kg)
0.57kg
0.675kg
0.39kg
6Kg(추정)
29.6kg
3.89kg
0.266kg
0.165kg
0.238kg
0.055kg
8.45kg
5.39kg
22.9kg
4.31kg
5.19kg
5.35kg
0.48kg
6.65kg
19.4kg
2.57kg
2.87kg
0.106kg
0.466kg
1.63kg
6.55kg
10gk(추정)
1.81kg
9.83kg
4.56kg
2.5kg(추정)
9.9kg
0.089kg
3.2kg(
8.84kg
4.18kg
16.2kg
3.97kg
0.67kg
3.8kg(추정)
5.64kg
4.43kg
4.26kg
2.98kg
1.46kg
4.64kg
0.06kg
0.23kg
0.83kg
0.25kg(추정)
0.05kg(추정)
0.334kg
0.343kg
0..237kg
0.196kg
0.079kg
0.084kg
0.12kg
0.104kg
3.29kg
29kg
15.9kg
7.97kg
9.1kg
0.081kg
21.5kg
10.51kg
1.07kg
2.13kg
2.17kg(추정)
3.71kg
5.07kg
0.108kg
2.59kg
0.155kg
16.1kg
3.79kg
4.54kg
5.04kg
1.33kg
6.73kg
4.77kg
0.102kg
0.096kg
0.135kg
1.6k
0.177kg
0.168kg
12.1kg
3.28kg
37kg
12.64kg
24.8kg
2.23kg(추정)
0.09kg(추정)
3.21kg
5.87kg
4.13kg
""
9.3kg
0.255kg
0.185kg
5.31kg
1.53kg
16.8kg
4.97kg
9.56kg
4.33kg
0.26kg
0.285kg
0.375kg
17.1kg
5.13kg
30kg
1.85kg
6.33kg
8.77kg
6.42kg
17.8kg
42kg
1.41kg
7.05kg
22.1kg
9.14kg
10.93kg
9.25kg
1.8 kg
2.94kg
2.82kg
1.89kg
0.94kg
22kg
1.73kg
8.32kg
6.04kg
4.98kg
7.96kg
0.79kg
1.24kg
3..2kg
7.8kg(추정)
2.35kg
5.33kg
15.5kg
2.49kg
3.46kg
5.36kg
6.56kg
3.62kg
4.14kg
4.61kg
7.57kg
7.6
7.56kg
19.1kg
2.72kg
2.93kg
2.03kg
6.47kg
11.9kg
4.34kg
2.58kg
7.53kg
20.1kg
7.24kg
26.8kg
11.7kg
5.26kg
6.79kg
